config,model,unfreeze_blocks,lr,scheduler,label_smoothing,weight_decay,llrd_factor,color_jitter,randaugment,random_erasing,collator,lora_r,acc_mean,acc_std,f1_mean,f1_std,prec_mean,rec_mean
0,dinov2,0,5e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.4105,0.0364,0.3175,0.0423,0.3187,0.3625
1,dinov2,2,5e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.8424,0.0172,0.8194,0.0163,0.8360,0.8414
2,dinov2,4,5e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.8257,0.0183,0.8043,0.0207,0.8323,0.8237
3,dinov2,12,1e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.7739,0.0155,0.7401,0.0199,0.7605,0.7645
4,convnext,0,0.001,linear,0.05,0.01,1.0,False,False,False,none,0,0.7387,0.0137,0.7066,0.0099,0.7280,0.7322
5,convnext,1,5e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.6469,0.0168,0.5925,0.0129,0.6037,0.6283
6,convnext,2,5e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.7192,0.0275,0.6820,0.0325,0.7033,0.7090
7,convnext,4,5e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.7146,0.0246,0.6781,0.0264,0.7005,0.7037
8,convnext,4,1e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.3160,0.0121,0.2089,0.0134,0.2134,0.2492
9,convnext,4,3e-05,linear,0.05,0.01,1.0,False,False,False,none,0,0.6497,0.0334,0.5993,0.0370,0.6187,0.6316
10,convnext,4,0.0001,linear,0.05,0.01,1.0,False,False,False,none,0,0.7544,0.0254,0.7216,0.0272,0.7446,0.7475
11,convnext,4,0.0003,linear,0.05,0.01,1.0,False,False,False,none,0,0.7627,0.0217,0.7311,0.0236,0.7502,0.7589
16,convnext,0,5e-05,cosine,0.05,0.01,1.0,False,False,False,none,0,0.3040,0.0149,0.2106,0.0114,0.2073,0.2559
17,convnext,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,0,0.4662,0.0167,0.3847,0.0130,0.3939,0.4237
20,convnext,0,5e-05,linear,0.0,0.01,1.0,False,False,False,none,0,0.2993,0.0157,0.2039,0.0105,0.2002,0.2513
21,convnext,0,5e-05,linear,0.1,0.01,1.0,False,False,False,none,0,0.2956,0.0170,0.2041,0.0104,0.2033,0.2470
22,convnext,0,5e-05,linear,0.05,0.05,1.0,False,False,False,none,0,0.2956,0.0170,0.2041,0.0104,0.2033,0.2470
23,convnext,0,5e-05,linear,0.05,0.1,1.0,False,False,False,none,0,0.2956,0.0170,0.2041,0.0104,0.2033,0.2470
25,convnext,4,5e-05,cosine,0.05,0.01,0.65,False,False,False,none,0,0.7173,0.0274,0.6825,0.0280,0.7011,0.7091
26,convnext,4,5e-05,cosine,0.05,0.01,0.75,False,False,False,none,0,0.7136,0.0279,0.6759,0.0282,0.6913,0.7057
27,convnext,4,5e-05,cosine,0.05,0.01,0.85,False,False,False,none,0,0.7118,0.0282,0.6738,0.0259,0.6889,0.7037
31,convnext,4,5e-05,cosine,0.05,0.01,1.0,False,False,False,none,0,0.7173,0.0242,0.6823,0.0233,0.6964,0.7095
32,convnext,4,5e-05,cosine,0.05,0.01,1.0,True,False,False,none,0,0.6997,0.0110,0.6501,0.0156,0.6685,0.6840
33,convnext,4,5e-05,cosine,0.05,0.01,1.0,False,True,False,none,0,0.7266,0.0283,0.6853,0.0264,0.7019,0.7158
34,convnext,4,5e-05,cosine,0.05,0.01,1.0,True,True,True,none,0,0.7174,0.0154,0.6798,0.0202,0.6983,0.7070
38,dinov2,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,4,0.6562,0.0319,0.6094,0.0291,0.6253,0.6363
39,dinov2,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,8,0.6692,0.0291,0.6188,0.0303,0.6306,0.6480
40,dinov2,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,16,0.6719,0.0297,0.6252,0.0257,0.6367,0.6533
41,vit,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,4,0.5496,0.0247,0.4918,0.0208,0.4978,0.5213
42,vit,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,8,0.5515,0.0236,0.4915,0.0188,0.4970,0.5252
43,vit,0,0.0001,cosine,0.05,0.01,1.0,False,False,False,none,16,0.5505,0.0218,0.4892,0.0167,0.4978,0.5221
